label,model,status,status_desc,obj,gap,solve_time_sec
,tree,2,OPTIMAL,1286235.625,0.009361051571481014,213.064368724823
,static,2,OPTIMAL,2109858.0,0.007393862525345197,0.0028798580169677734
,mnp,2,OPTIMAL,1440851.375,0.009811426099923456,2.3751068115234375
,mrp,2,OPTIMAL,1349376.875,0.009994926941268651,173.5021412372589
