model,hub,season,scenario,outbound_qty
Multistage (tree),2,2,10,97.0
Multistage (tree),2,2,11,97.0
Multistage (tree),2,2,12,146.0
Multistage (tree),2,2,13,146.0
Multistage (tree),2,2,14,146.0
Multistage (tree),2,2,15,146.0
Multistage (tree),2,3,0,85.0
Multistage (tree),2,3,1,85.0
Multistage (tree),2,3,2,57.0
Multistage (tree),2,3,3,57.0
Multistage (tree),2,3,4,66.0
Multistage (tree),2,3,5,66.0
Multistage (tree),2,3,6,119.0
Multistage (tree),2,3,7,119.0
Multistage (tree),2,3,8,148.0
Multistage (tree),2,3,9,148.0
Multistage (tree),2,3,10,82.0
Multistage (tree),2,3,11,82.0
Multistage (tree),2,3,12,100.0
Multistage (tree),2,3,13,100.0
Multistage (tree),2,3,14,95.0
Multistage (tree),2,3,15,95.0
Multistage (tree),2,4,0,59.0
Multistage (tree),2,4,1,38.0
Multistage (tree),2,4,2,50.0
Multistage (tree),2,4,3,55.0
Multistage (tree),2,4,4,80.0
Multistage (tree),2,4,5,116.0
Multistage (tree),2,4,6,12.0
Multistage (tree),2,4,7,20.0
Multistage (tree),2,4,8,88.0
Multistage (tree),2,4,9,80.0
Multistage (tree),2,4,10,89.0
Multistage (tree),2,4,11,60.0
Multistage (tree),2,4,12,86.0
Multistage (tree),2,4,13,32.0
Multistage (tree),2,4,14,101.0
Multistage (tree),2,4,15,141.0
Static,0,1,0,0.0
Static,0,1,1,0.0
Static,0,1,2,0.0
Static,0,1,3,0.0
Static,0,1,4,0.0
Static,0,1,5,0.0
Static,0,1,6,0.0
Static,0,1,7,0.0
Static,0,1,8,0.0
Static,0,1,9,0.0
Static,0,1,10,0.0
Static,0,1,11,0.0
Static,0,1,12,0.0
Static,0,1,13,0.0
Static,0,1,14,0.0
Static,0,1,15,0.0
Static,0,2,0,0.0
Static,0,2,1,0.0
Static,0,2,2,0.0
Static,0,2,3,0.0
Static,0,2,4,0.0
Static,0,2,5,0.0
Static,0,2,6,0.0
Static,0,2,7,0.0
Static,0,2,8,0.0
Static,0,2,9,0.0
Static,0,2,10,0.0
Static,0,2,11,0.0
Static,0,2,12,0.0
Static,0,2,13,0.0
Static,0,2,14,0.0
Static,0,2,15,0.0
Static,0,3,0,0.0
Static,0,3,1,0.0
Static,0,3,2,0.0
Static,0,3,3,0.0
Static,0,3,4,0.0
Static,0,3,5,0.0
Static,0,3,6,0.0
Static,0,3,7,0.0
Static,0,3,8,0.0
Static,0,3,9,0.0
Static,0,3,10,0.0
Static,0,3,11,0.0
Static,0,3,12,0.0
Static,0,3,13,0.0
Static,0,3,14,0.0
Static,0,3,15,0.0
Static,0,4,0,0.0
Static,0,4,1,0.0
Static,0,4,2,0.0
Static,0,4,3,0.0
Static,0,4,4,0.0
Static,0,4,5,0.0
Static,0,4,6,0.0
Static,0,4,7,0.0
Static,0,4,8,0.0
Static,0,4,9,0.0
Static,0,4,10,0.0
Static,0,4,11,0.0
Static,0,4,12,0.0
Static,0,4,13,0.0
Static,0,4,14,0.0
Static,0,4,15,0.0
Static,1,1,0,0.0
Static,1,1,1,0.0
Static,1,1,2,0.0
Static,1,1,3,0.0
Static,1,1,4,0.0
Static,1,1,5,0.0
Static,1,1,6,0.0
Static,1,1,7,0.0
Static,1,1,8,0.0
Static,1,1,9,0.0
Static,1,1,10,0.0
Static,1,1,11,0.0
Static,1,1,12,0.0
Static,1,1,13,0.0
Static,1,1,14,0.0
Static,1,1,15,0.0
Static,1,2,0,0.0
Static,1,2,1,0.0
Static,1,2,2,0.0
Static,1,2,3,0.0
Static,1,2,4,0.0
Static,1,2,5,0.0
Static,1,2,6,0.0
Static,1,2,7,0.0
Static,1,2,8,0.0
Static,1,2,9,0.0
Static,1,2,10,0.0
Static,1,2,11,0.0
Static,1,2,12,0.0
Static,1,2,13,0.0
Static,1,2,14,0.0
Static,1,2,15,0.0
Static,1,3,0,0.0
Static,1,3,1,0.0
Static,1,3,2,0.0
Static,1,3,3,0.0
Static,1,3,4,0.0
Static,1,3,5,0.0
Static,1,3,6,0.0
Static,1,3,7,0.0
Static,1,3,8,0.0
Static,1,3,9,0.0
Static,1,3,10,0.0
Static,1,3,11,0.0
Static,1,3,12,0.0
Static,1,3,13,0.0
Static,1,3,14,0.0
Static,1,3,15,0.0
Static,1,4,0,0.0
Static,1,4,1,0.0
Static,1,4,2,0.0
Static,1,4,3,0.0
Static,1,4,4,0.0
