model,scenario,type,purchase,planned,corrective
MNP,10,1,-0.0,95.0,0.0
MNP,10,2,-0.0,170.0,2.0
MNP,11,0,-0.0,20.0,4.0
MNP,11,1,-0.0,95.0,0.0
MNP,11,2,-0.0,170.0,1.0
MNP,12,0,-0.0,20.0,7.0
MNP,12,1,-0.0,95.0,0.0
MNP,12,2,-0.0,170.0,0.0
MNP,13,0,-0.0,20.0,7.0
MNP,13,1,-0.0,95.0,0.0
MNP,13,2,-0.0,170.0,0.0
MNP,14,0,-0.0,20.0,15.0
MNP,14,1,-0.0,95.0,0.0
MNP,14,2,-0.0,170.0,4.0
MNP,15,0,-0.0,20.0,12.0
MNP,15,1,-0.0,95.0,0.0
MNP,15,2,-0.0,170.0,5.0
MRP,0,0,0.0,30.0,55.0
MRP,0,1,0.0,90.0,11.0
MRP,0,2,0.0,170.0,67.0
MRP,1,0,0.0,30.0,63.0
MRP,1,1,0.0,90.0,10.0
MRP,1,2,0.0,170.0,67.0
MRP,2,0,0.0,30.0,44.0
MRP,2,1,0.0,90.0,8.0
MRP,2,2,0.0,170.0,41.0
MRP,3,0,0.0,30.0,47.0
MRP,3,1,0.0,90.0,8.0
MRP,3,2,0.0,170.0,43.0
MRP,4,0,0.0,30.0,47.0
MRP,4,1,0.0,90.0,8.0
MRP,4,2,0.0,170.0,50.0
MRP,5,0,0.0,30.0,51.0
MRP,5,1,0.0,90.0,7.0
MRP,5,2,0.0,170.0,50.0
MRP,6,0,0.0,30.0,53.0
MRP,6,1,0.0,90.0,7.0
MRP,6,2,0.0,170.0,32.0
MRP,7,0,0.0,30.0,45.0
MRP,7,1,0.0,90.0,7.0
MRP,7,2,0.0,170.0,39.0
MRP,8,0,0.0,30.0,1.0
MRP,8,1,0.0,90.0,0.0
MRP,8,2,0.0,170.0,0.0
MRP,9,0,0.0,30.0,1.0
MRP,9,1,0.0,90.0,0.0
MRP,9,2,0.0,170.0,0.0
MRP,10,0,0.0,30.0,5.0
MRP,10,1,0.0,90.0,0.0
MRP,10,2,0.0,170.0,2.0
MRP,11,0,0.0,30.0,4.0
MRP,11,1,0.0,90.0,0.0
MRP,11,2,0.0,170.0,1.0
MRP,12,0,0.0,30.0,5.0
MRP,12,1,0.0,90.0,0.0
MRP,12,2,0.0,170.0,0.0
MRP,13,0,0.0,30.0,5.0
MRP,13,1,0.0,90.0,0.0
MRP,13,2,0.0,170.0,0.0
MRP,14,0,0.0,30.0,12.0
MRP,14,1,0.0,90.0,0.0
MRP,14,2,0.0,170.0,4.0
MRP,15,0,0.0,30.0,9.0
MRP,15,1,0.0,90.0,0.0
MRP,15,2,0.0,170.0,5.0
