hub_label,regate,site,lat,lng,mean_weekly_demand,std_weekly_demand,n_weeks_observed
0,160290,CHATEAUNEUF SUR CHARENTE PDC1,45.59914565834713,-0.0545569959668502,26542.5,17293.2,69
1,170360,LA ROCHELLE PDC1,46.155449189900345,-1.144225304210862,191650.9,169493.7,430
2,179650,PERIGNY PPDC,46.15798409393515,-1.1120586662231584,240378.8,174014.1,479
